DISTRICT NAME,SUB-DISTRICT NAME
Pashchim Champaran,Lauriya
Pashchim Champaran,Bagaha
Pashchim Champaran,Piprasi
Pashchim Champaran,Madhubani
Pashchim Champaran,Bhitaha
Pashchim Champaran,Thakrahan
Pashchim Champaran,Jogapatti
Pashchim Champaran,Chanpatia
Pashchim Champaran,Sikta
Pashchim Champaran,Majhaulia
Pashchim Champaran,Bettiah
Pashchim Champaran,Bairia
Pashchim Champaran,Nautan
Purba Champaran,Raxaul
Purba Champaran,Adapur
Purba Champaran,Ramgarhwa
Purba Champaran,Sugauli
Purba Champaran,Banjaria
Purba Champaran,Narkatia
Purba Champaran,Bankatwa
Purba Champaran,Ghorasahan
Purba Champaran,Dhaka
Purba Champaran,Chiraia
Purba Champaran,Motihari
Purba Champaran,Turkaulia
Purba Champaran,Harsidhi
Purba Champaran,Paharpur
Purba Champaran,Areraj
Purba Champaran,Sangrampur
Purba Champaran,Kesaria
Purba Champaran,Kalyanpur
Purba Champaran,Kotwa
Purba Champaran,Piprakothi
Purba Champaran,Chakia(Pipra)
Purba Champaran,Pakri Dayal
Purba Champaran,Patahi
Purba Champaran,Phenhara
Purba Champaran,Madhuban
Purba Champaran,Tetaria
Purba Champaran,Mehsi
Sheohar,Purnahiya
Sheohar,Piprarhi
Sheohar,Sheohar
Sheohar,Dumri Katsari
Sheohar,Tariani Chowk
Sitamarhi,Bairgania
Sitamarhi,Suppi
Sitamarhi,Majorganj
Sitamarhi,Sonbarsa
Sitamarhi,Parihar
Sitamarhi,Sursand
Sitamarhi,Bathnaha
Sitamarhi,Riga
Sitamarhi,Parsauni
Sitamarhi,Belsand
Sitamarhi,Runisaidpur
Sitamarhi,Dumra
Sitamarhi,Bajpatti
Sitamarhi,Charaut
Sitamarhi,Pupri
Sitamarhi,Nanpur
Sitamarhi,Bokhara
Madhubani,Madhwapur
Madhubani,Harlakhi
Madhubani,Basopatti
Madhubani,Jainagar
Madhubani,Ladania
Madhubani,Laukaha
Madhubani,Laukahi
Madhubani,Phulparas
Madhubani,Babubarhi
Madhubani,Khajauli
Madhubani,Kaluahi
Madhubani,Benipatti
Madhubani,Bisfi
Madhubani,Madhubani
Madhubani,Pandaul
Madhubani,Rajnagar
Madhubani,Andhratharhi
Madhubani,Jhanjharpur
Madhubani,Ghoghardiha
Madhubani,Lakhnaur
Madhubani,Madhepur
Supaul,Nirmali
Supaul,Basantpur
Supaul,Chhatapur
Supaul,Pratapganj
Supaul,Raghopur
Supaul,Saraigarh Bhaptiyahi
Supaul,Kishanpur
Supaul,Marauna
Supaul,Supaul
Supaul,Pipra
Supaul,Tribeniganj
Araria,Narpatganj
Araria,Forbesganj
Araria,Bhargama
Araria,Raniganj
Araria,Araria
Araria,Kursakatta
Araria,Sikti
Araria,Palasi
Araria,Jokihat
Kishanganj,Terhagachh
Kishanganj,Dighalbank
Kishanganj,Thakurganj
Kishanganj,Pothia
Kishanganj,Bahadurganj
Kishanganj,Kochadhamin
Kishanganj,Kishanganj
Purnia,Banmankhi
Purnia,Barhara
Purnia,Bhawanipur
Purnia,Rupauli
Purnia,Dhamdaha
Purnia,Krityanand Nagar
Purnia,Purnia East
Purnia,Kasba
Purnia,Srinagar
Purnia,Jalalgarh
Purnia,Amour
Purnia,Baisa
Purnia,Baisi
Purnia,Dagarua
Katihar,Falka
Katihar,Korha
Katihar,Hasanganj
Katihar,Kadwa
Katihar,Balrampur
Katihar,Barsoi
Katihar,Azamnagar
Katihar,Pranpur
Katihar,Dandkhora
Katihar,Katihar
Katihar,Mansahi
Katihar,Barari
Katihar,Sameli
Katihar,Kursela
Katihar,Manihari
Katihar,Amdabad
Madhepura,Gamharia
Madhepura,Singheshwar
Madhepura,Ghailarh
Madhepura,Madhepura
Madhepura,Shankarpur
Madhepura,Kumarkhand
Madhepura,Murliganj
Madhepura,Gwalpara
Madhepura,Bihariganj
Madhepura,Kishanganj
Madhepura,Puraini
Madhepura,Alamnagar
Madhepura,Chausa
Saharsa,Nauhatta
Saharsa,Satar Kataiya
Saharsa,Mahishi
Saharsa,Kahara
Saharsa,Saur Bazar
Saharsa,Patarghat
Saharsa,Sonbarsa
Saharsa,Simri Bakhtiarpur
Saharsa,Salkhua
Saharsa,Banma Itahri
Darbhanga,Jale
Darbhanga,Singhwara
Darbhanga,Keotiranway
Darbhanga,Darbhanga
Darbhanga,Manigachhi
Darbhanga,Tardih
Darbhanga,Alinagar
Darbhanga,Benipur
Darbhanga,Bahadurpur
Darbhanga,Hanumannagar
Darbhanga,Hayaghat
Darbhanga,Baheri
Darbhanga,Biraul
Darbhanga,Ghanshyampur
Darbhanga,Kiratpur
Darbhanga,Gora Bauram
Darbhanga,Kusheshwar Asthan
Darbhanga,Kusheshwar Asthan Purbi
Muzaffarpur,Sahebganj
Muzaffarpur,Baruraj (Motipur)
Muzaffarpur,Paroo
Muzaffarpur,Saraiya
Muzaffarpur,Marwan
Muzaffarpur,Kanti
Muzaffarpur,Minapur
Muzaffarpur,Bochaha
Muzaffarpur,Aurai
Muzaffarpur,Katra
Muzaffarpur,Gaighat
Muzaffarpur,Bandra
Muzaffarpur,Dholi (Moraul)
Muzaffarpur,Musahri
